benchmark,problem size,block size,partition mode,kernel iteration,input conversion,kernel execution,output conversion,total time,kernel speedup,total speedup,RMSE%,error rate,error percentage,SSIM,PNSR
mean_2d,1024,512,ct_b,100,5.73927,6.94415,25.4824,38.1658,1.24803,0.883707,0.0166595,0.00243819,0.205983,0.998962,62.3886,
mean_2d,2048,512,cpu,100,8.85811,34.9101,80.3566,124.125,0.998958,1.01352,0,0,0,1,inf,
mean_2d,2048,512,gpu,100,167.645,64.196,100.12,331.962,0.532613,0.378556,0,0,0,1,inf,
mean_2d,2048,512,cgt_s,100,220.299,58.3401,109.202,387.842,0.589759,0.324226,0.0193086,0.00316662,0.267062,0.998626,61.2182,
mean_2d,2048,512,cg_s,100,191.865,77.0585,122.172,391.096,0.450457,0.322403,0.00187197,9.77474e-05,0.00387192,0.999987,81.4873,
mean_2d,2048,512,gt_s,100,248.867,74.967,105.589,429.423,0.447,0.290163,0.0223964,0.00474849,0.414159,0.998187,59.9297,
mean_2d,2048,512,ct_s,100,101.958,49.3229,94.6724,245.953,0.699034,0.511693,0.0223964,0.00474849,0.414159,0.998187,59.9297,
mean_2d,2048,512,cgt_b,100,32.5856,38.2467,101.978,172.81,0.877058,0.721433,0.0193086,0.00316662,0.267062,0.998626,61.2182,
mean_2d,2048,512,cg_b,100,32.6565,38.8018,105.481,176.939,0.89814,0.713756,0.0185268,0.00312335,0.266859,0.998738,61.5772,
mean_2d,2048,512,gt_b,100,32.6177,60.4002,103.817,196.835,0.574084,0.635673,0.0263837,0.00646493,0.56764,0.997519,58.5065,
mean_2d,2048,512,ct_b,100,32.4948,25.7021,94.7738,152.971,1.30563,0.810496,0.0179574,0.00299538,0.260554,0.998816,61.8483,
mean_2d,2048,1024,cpu,100,8.7892,34.2751,80.3224,123.387,1.00136,1.01965,0,0,0,1,inf,
mean_2d,2048,1024,gpu,100,167.978,57.3613,98.7989,324.138,0.599854,0.385316,0,0,0,1,inf,
mean_2d,2048,1024,cgt_s,100,215.263,42.6554,104.373,362.291,0.79266,0.345439,0.012635,0.00209203,0.19325,0.999412,64.9017,
mean_2d,2048,1024,cg_s,100,177.437,65.9667,113.557,356.961,0.532529,0.351559,0.00103142,3.12521e-05,0.00126982,0.999996,86.6645,
mean_2d,2048,1024,gt_s,100,216.593,61.4006,101.045,379.039,0.572223,0.334025,0.0161791,0.00375026,0.3553,0.999061,62.7542,
mean_2d,2048,1024,ct_s,100,77.5755,48.6168,88.5653,214.758,0.713918,0.587513,0.0161791,0.00375026,0.3553,0.999061,62.7542,
mean_2d,2048,1024,cgt_b,100,30.2978,49.2023,104.627,184.128,0.694051,0.680095,0.012635,0.00209203,0.19325,0.999412,64.9017,
mean_2d,2048,1024,cg_b,100,31.2532,50.9274,110.47,192.651,0.670266,0.649566,0.00103142,3.12521e-05,0.00126982,0.999996,86.6645,
mean_2d,2048,1024,gt_b,100,30.4785,69.9887,90.5932,191.06,0.49982,0.661264,0.0205023,0.00581104,0.547281,0.998524,60.6972,
mean_2d,2048,1024,ct_b,100,30.1994,26.6495,92.084,148.933,1.32157,0.850991,0.0104417,0.00174704,0.169333,0.9996,66.5579,
mean_2d,4096,512,cpu,100,30.3582,144.799,317.655,492.813,0.999867,1.00887,0,0,0,1,inf,
mean_2d,4096,512,gpu,100,267.121,121.286,374.722,763.129,1.19079,0.650648,0,0,0,1,inf,
mean_2d,4096,512,cgt_s,100,509.509,126.894,436.009,1072.41,1.12659,0.461769,0.0182986,0.00317457,0.265062,0.998788,61.8245,
mean_2d,4096,512,cg_s,100,349.897,210.482,491.456,1051.84,0.681996,0.471436,0.0033054,0.000218771,0.00632006,0.999959,76.6884,
mean_2d,4096,512,gt_s,100,570.085,216.049,424.764,1210.9,0.666276,0.409733,0.0226721,0.00476486,0.403886,0.998163,59.9631,
mean_2d,4096,512,ct_s,100,375.931,186.56,399.152,961.642,0.769849,0.515865,0.0226721,0.00476486,0.403886,0.998163,59.9631,
mean_2d,4096,512,cgt_b,100,116.782,84.0285,438.643,639.454,1.70238,0.77454,0.0161826,0.00249153,0.204448,0.999046,62.8919,
